Schematic_Node_ID,Schematic_Text
0,SWWWTP
1, CCWWTP
2,CLR009
3,SAC289
4,SAC287
5,COW014
6,SAC294
7,SAC269
8,SAC265
9,SAC277
10,CWD009
11,CWD018
12,SAC296
13,CLR011
14,CWD004
15,SAC281
16,SAC275
17,03_PU1
Jones Valley CSA, Shasta
Lake CSD, Mountain Gate CSD
18, SHSTA
19, Sacramento, Pitt, and 
McCloud Rivers
20, KSWCK
21,03_PA
Bella Vista WD
22,02_PA
Clear Creek CSD
23,02_SA
Anderson Cottonwood ID,
Misc. Settlement Contractors
24,03_SA
Anderson Cottonwood ID,
Misc. Settlement Contractors
25,02_NA
Non-District
26,03_NA
Non-District
27, TRNTY
28, LWSTN
29, WKYTN
30, Clear Creek
31, Trinity River
32,Lewiston
Local Inflow
33,North and Middle Forks
Cottonwood Creek
34,South Fork
Cottonwood Creek
35, Cow Creek
36,02_PU
Centerville CSD,
Clear Creek CSD,
Keswick CSA, Shasta CSD
37,03_PU2
Bella Vista WD
38,03_SU
City of Redding
39,WTP
BUK
40, WTP
JMS
41,SAC259
42,SAC247
43,SAC250
44, Paynes and Sevenmile Creeks
45,COW007
46,COW003
47,03_NU
Small Communities
48,BTL006
49, Battle Creek
50,02_NU
City of Anderson, Cottonwood WD,
Small Communities
51,PYN001
52,
WTP
CSD
53, WTP
FTH
54, Closure Term
55, Bear Creek (BCN)
56,BCN010
57,SAC257
58,BCN005
59,SAC299
60,SCW008
61,Local Inflow:
Paige Boulder and
Andrews Creek
62,SAC273
63, Balls Ferry
64,SAC271
65,TRN111
66, Trinity River Outflow
67,CCT011
68, Clear Creek Tunnel
69,SPT003
70,02_SU
City of Redding
71, Muletown Conduit
72,CLR025
73,SAC301
74,SAC254
75, Wintu Pumping Plant
76,CWD003
77,SAC240
78,ANT010
79,MLC006
80,DRC010
81,SAC228
82,SAC224
83,SAC218
84,SAC207
85,ELD012
86,THM012
87,TCC031
88,TCC022
89,STN021
90,GCC007
91,STN009
92,SAC217
93,GCC010
94,STN026
95,MLC004
96,DRC005
97,ELD005
98,THM005
99,ELD027
100,THM028
101,ELD022
102,THM021
103,ELD017
104,THM017
105,SAC232
106, Deer Creek (DRC)
107, Elder Creek
108, Mill Creek
109, Antelope Creek
110,04_NA
Non-District,
Misc. Settlement Contractors
111,06_PA
Orland Unit WUA
112,06_NA
Non-District
113,05_NA
Los Molinos MWC,
Non-District
Misc Settlement Contractors
114,04_PA2
Kirkwood WD
115,04_PA1
Corning WD, Proberta WD,
Thomes Creek WD
116, BLKBT
117, SGRGE
118, Stony Creek
119, Stony Gorge
Local Inflow
120, Black Butte
Local Inflow
121,CCL005
122,BCC006
123,BCC012
124,BCC004
125, Big Chico Creek
126,GCC015
127,GCC022
128,TCC001
129,04_NU2
City of Corning,
Gerber-Las Flores CSD,
Small Communities
130,06_NU
City of Orland
Small Communities
131,STN014
132,STN004
133,05_NU
City of Red Bluff (part)
Los Molinos CSD,
Small Communities
134,THM026
135,ANT011
136,BCC014
137,DRC012
138, Minor North-East Streams
139,SAC214
140,SAC201
141, Tehama-Colusa Canal
142, Glenn-Colusa Canal
143, GClD Stony Creek Siphon
144, Corning Canal
145, Red Bluff Diversion Dam
146, North Canal
147, South Canal
148, Northside Diversion Dam
149,SAC229
150,04_NU1
City of Red Bluff (part)
151,MNS000
152, Stony Creek WD
153,BSL001
154, 18_NA
Butte Slough IC,
Sutter Butte MWC, Non-District 
155, 18_SA
Meridian Farms WC,
Lomo Cold Storage, Sutter MWC (part),
Tisdale IDC,
Misc. Settlement Contractors
156,SBP031
157,SBP024
158,SBP028
159, 18_NU
Small communities
160,RFS18
161,BSL004
162,TCC036
163,SAC174
164,GCC027
165,TCC062
166,CBD049
167,CBD044
168,CBD041
169,TCC081
170,SAC159
171,GCC046
172,SAC169
173,SAC162
174,SAC141
175,SAC148
176,SAC129
177,SAC134
178,SAC154
179,CBD037
180,GCC036
181,GCC039
182,GCC050
183,08S_NA1
Non-District
184,07S_NA
Non-District
185,07N_NA
Non-District
186,08N_NA
Non-District
187,07N_PA
Glide WD, Holthouse WD (part),
Kanawha WD, Orland-Artois WD
188,08N_SA2
Glenn-Colusa ID (part)
189,08N_SA1
Princeton-Cordora-Glenn ID,
Provident ID, Maxwell ID (part),
Misc. Settlement Contractors
190,08S_SA1
Maxwell ID (portion), Roberts Ditch IC,
Sycamore Family Trust,
Misc. Settlement Contractors
191,08S_SA2
Glenn-Colusa ID (part)
192,08S_PR
Colusa NWR
193,08N_PR1
Sacramento NWR
194,08N_NU
Hamilton City, 
Small Communities
195,08S_NU
City of Colusa, Williams,
Small Communities
196, Funks Reservoir
197,TCC066
198,TCC085
199,08N_PR2
Delevan NWR
200,08N_PA
Colusa Drain MWC
201, Williams Wasteway
202, Intertie
203,SAC146
204,CBD038
205,07N_NU
CalWater (Willows),
Small Communities
206,SAC182
207,SAC178
208, Goose Lake FRS
209,GCC032
210,GCC042
211,GCC056
212,BTC036
213,BTC032
214,BTC003
215,BTC045
216,BTC018
217,BTC029
218,BTC024
219,BTC007
220,BTC012
221,09_SA1
Pacific Realty Associates
(M&T Chico Ranch)
222,09_NA
Llano Seco Rancho,
Dayton MWC,
Non-District
223,09_SA2
RD 1004, Carter
 MWC, Jack Baber,
Misc. Settlement Contractors
224,SAC196
225,SAC193
226,SAC185
227,BTC048
228,09_NU
Small communities
229,BTC060
230, De Sabla Powerhouse
231, Parrott-Phelan Dam (Diversion #50) 
232, Adams and Gorrill Dams (Diversion #60 & 61) 
233,BTC043
234, Durham Mutual Dam  (Diversion #56)
235, 10_NU1
CalWater
(Chico)
236, CHWWTP
237,ESL008
238, Edgar Slough
239,BTC041
240,BTC017
241,SAC188
242, M&T FRS
243, Little Chico Creek 
244,LCC038
245,BTC016
246, M&T/Llano Seco Pumping Plant
247,LCC026
248,LCC024
249,LCC029
250,LCC016
251, ORWWTP
252, YCWWTP
253,FTR028
254,FTR059
255,FTR048
256,FTR068
257,FTR063
258,FTR053
259,FTR045
260,FTR036
261,17N_NA
Non-Project, Non-District
262, 11_SA3
Biggs-West Gridley WD, Butte WD
263, 13_NA
South Feather Water and Power Agency,
Yuba County WD,
Non-District
264, 12_NA
Non-District
265, 11_NU2
City of Biggs, Gridley,
Live Oak WD,
Small Communities
266,10_NA
Non-District
267, 17N_NR
Sutter and Butte Sink Duck Clubs 
268, THRMA
269, OROVL
270, 16_PU
City of Yuba City
271,FTR039
272,FTR029
273,HON021
274, 11_NU1
Thermalito ID (Oroville)
275,JBC000
276,WEC005
277, 17N_PR
Gray Lodge WA
278,RFS11
279,RFS13
280,WWC006
281, 17S_PR
Sutter NWR
282,12_NU1
CalWater
(Oroville)
283,13_NU1
South Feather Water
and Power Agency
(Oroville)
284, WTP
CYC
285, Honcut Creek
286,10_NU2
Durham ID
Small Communities
287,WBF030
288,Philbrook Creek
289, Hendricks Diversion Dam
290,WBF015
291, Miocene Diversion Dam
292,SFF011
293,MNRRH
294, Ponderosa Reservoir
295, Miners Ranch Reservoir
296, WTP
MNR
297,LST004
298,SFF020
299, South Fork
Feather River
300, SLYCK
301, Sly Creek
302, Palermo Canal
303, Lost Creek Reservoir
304, Oroville-Wyandotte Canal
305, Miners Ranch Canal
306, Kelly Ridge Powerhouse
307, Sunset Pumps 
308,CRK005
309,MIO023
310,LDC029
311, Little Dry Creek
312, LGRSV
313,SFF029
314, South Fork Diversion Dam
315, Cox Spill
316,RVC005
317,FTR051
318, 12_SA
Misc. FRSA Diverters
319, 15N_SA
Misc. FRSA Diverters
320, Local Inflow
321, Wadsworth Canal
322, Toadtown Canal
323,TTC002
324,FTR072
325,FTR067
326, 13_NU2
Small Communities
327, 12_NU2
Small Communities
328,JCK002
329, 11_PR
Upper Butte Basin Wildlife Area
Howard Slough Unit and
Little Dry Creek
330, 17N_NU
Small Communities
331, Bangor Canal
332,HON004
333,FTR030
334,FTR031
335,LST007
336, 11_SA2
Richvale ID
337,JBC002
338,JBC008
339, 11_SA4
Sutter Extension WD
340,TAB000
341,SEC009
342, Joint Board Canal 
343, Sutter Extension Canal 
344,LDC021
345,LDC007
346,WEC000
347,BGD000
348,SFT000
349,JBC004
350,YUB023
351,YUB024
352,FDC006
353,YUB014
354, MERLC
355,YUB013
356, ENGLB
357,Local Inflow to
Englebright Reservoir
358,DER001
359, NBLDB
360, North Fork Yuba River and Small  Watersheds
361, French Dry Creek
362,YUB011
363,YUB003
364,YUB006
365, 15N_NA2
Cordua ID, Hallwood ID,
Ramirez WD
366, 15N_NU
CalWater (Marysville),
Small Communities
367, 14_NU
Small Communities
368,RFS14
369,SLT009
370, Slate Creek
371, Slate Creek Diversion Dam
372,NFY017
373, Slate Creek Diversion Tunnel
374,Local Inflow to 
Middle Fork Yuba River
375,SCT000
376,SLT008
377,CMT000
378,YUB002
379, 15N_NA1
Non-District
380,SG229_SAC250_39
381,SG209_SAC281_32
382,C_SAC294
383,D_SHSTA_WTPJMS
384,C_WKYTN
385,C_SHSTA
386,C_KSWCK
387,C_SAC296
388,C_CWD018
389,C_SAC289
390,C_CLR009
391,C_SAC277
392,C_COW014
393,C_SAC273
394,C_SAC287
395,C_SAC281
396,C_CWD003
397,C_SAC269
398,C_CWD009
399,C_SAC265
400,R_02_NA_CWD004
401,R_03_PA_SAC287
402,R_02_SA_SAC273
403,R_02_PA_SAC273
404,R_03_SA_SAC281
